Date,Open,High,Low,Close,Volume,OpenInt
2005-11-03,5.4192,5.4803,5.3582,5.4725,20472,0
2005-11-04,5.4803,5.4803,5.4192,5.4803,10752,0
2005-11-07,5.4803,5.4803,5.4192,5.4192,18557,0
2005-11-08,5.3884,5.3884,5.3048,5.3429,15091,0
2005-11-09,5.4116,5.4496,5.4116,5.4496,21679,0
2005-11-10,5.3353,5.3884,5.3353,5.3582,26188,0
2005-11-11,5.3048,5.4192,5.3048,5.3884,15438,0
2005-11-14,5.4192,5.4192,5.4192,5.4192,171,0
2005-11-15,5.4192,5.4803,5.3884,5.4496,33304,0
2005-11-16,5.3884,5.4267,5.3658,5.4267,7805,0
2005-11-17,5.4496,5.4496,5.3884,5.3963,8672,0
2005-11-18,5.4116,5.4116,5.3582,5.3658,11969,0
2005-11-21,5.3582,5.4192,5.3582,5.3963,6592,0
2005-11-22,5.3963,5.4725,5.3884,5.4725,3991,0
2005-11-23,5.4803,5.4803,5.3963,5.4039,4509,0
2005-11-25,5.4192,5.4192,5.3353,5.3582,7632,0
2005-11-28,5.3353,5.3582,5.3048,5.3277,12141,0
2005-11-29,5.3429,5.381,5.3353,5.381,2255,0
2005-11-30,5.3048,5.381,5.221,5.221,17869,0
2005-12-01,5.2438,5.4803,5.1369,5.3884,48395,0
2005-12-02,5.3582,5.4192,5.1904,5.3505,15955,0
2005-12-05,5.282,5.3884,5.2438,5.2
